watched,name,year,genre_main,genre_sub1,genre_sub2
0,Bridesmaids,2011,Comedy,Buddy Comedy,
0,Hot Fuzz,2007,Comedy,Buddy Comedy,
0,Up in Smoke,1978,Comedy,Buddy Comedy,
0,Stir Crazy,1980,Comedy,Buddy Comedy,
0,Old School,2003,Comedy,Buddy Comedy,
0,Girls Trip,2017,Comedy,Buddy Comedy,
0,The Hangover,2009,Comedy,Buddy Comedy,
0,Romy and Michelle's High School Reunion,1997,Comedy,Buddy Comedy,
0,Friday,1995,Comedy,Buddy Comedy,
0,Tommy Boy,1995,Comedy,Buddy Comedy,Unlikely Friends
0,The Odd Couple,1968,Comedy,Buddy Comedy,Unlikely Friends
0,White Men Can't Jump,1992,Comedy,Buddy Comedy,Unlikely Friends
0,Bull Durham,1988,Comedy,Sports,
0,A League of Their Own,1992,Comedy,Sports,
0,The Sandlot,1993,Comedy,Sports,
0,Caddyshack,1980,Comedy,Sports,
0,Slap Shot,1977,Comedy,Sports,
0,Happy Gilmore,1996,Comedy,Sports,
0,Kingpin,1996,Comedy,Sports,
0,Talladega Nights,2006,Comedy,Sports,
0,Bad News Bears,1976,Comedy,Sports,Underdogs
0,Major League,1989,Comedy,Sports,Underdogs
0,Cool Runnings,1993,Comedy,Sports,Underdogs
0,The Mighty Ducks,1992,Comedy,Sports,Underdogs
0,Duck Soup,1933,Comedy,Black Comedy/Satire,
0,Blazing Saddles,1974,Comedy,Black Comedy/Satire,
0,Network,1976,Comedy,Black Comedy/Satire,
0,The Player,1992,Comedy,Black Comedy/Satire,
0,Election,1999,Comedy,Black Comedy/Satire,
0,A Hard Day's Night,1964,Comedy,Black Comedy/Satire,
0,Modern Times,1936,Comedy,Black Comedy/Satire,
0,Mon Oncle,1958,Comedy,Black Comedy/Satire,
0,The King of Comedy,1982,Comedy,Black Comedy/Satire,
0,Shampoo,1975,Comedy,Black Comedy/Satire,
0,Thank You for Smoking,2005,Comedy,Black Comedy/Satire,
0,The Rules of the Game,1939,Comedy,Black Comedy/Satire,
0,The Favourite,2018,Comedy,Black Comedy/Satire,
0,Ghost World,2001,Comedy,Black Comedy/Satire,
0,Love and Death,1975,Comedy,Black Comedy/Satire,
0,Arsenic and Old Lace,1944,Comedy,Black Comedy/Satire,
0,Four Lions,2010,Comedy,Black Comedy/Satire,
0,Heathers,1988,Comedy,Black Comedy/Satire,
0,M*A*S*H*,1970,Comedy,Black Comedy/Satire,
0,Idiocracy,2006,Comedy,Black Comedy/Satire,
0,"South Park: Bigger, Longer and Uncut",1999,Comedy,Black Comedy/Satire,
0,Kind Hearts and Coronets,1949,Comedy,Black Comedy/Satire,
0,The Death of Mr. Lazarescu,2005,Comedy,Black Comedy/Satire,
0,Dr. Strangelove,1964,Comedy,Black Comedy/Satire,Political
0,The Great Dictator,1940,Comedy,Black Comedy/Satire,Political
0,The Death of Stalin,2017,Comedy,Black Comedy/Satire,Political
0,Wag the Dog,1997,Comedy,Black Comedy/Satire,Political
0,Being There,1979,Comedy,Black Comedy/Satire,Political
0,Nashville,1975,Comedy,Black Comedy/Satire,Political
0,Dave,1993,Comedy,Black Comedy/Satire,Political
0,Together,2000,Comedy,Black Comedy/Satire,Political
0,In the Loop,2009,Comedy,Black Comedy/Satire,Political
0,Mr. Smith Goes to Washington,1939,Comedy,Black Comedy/Satire,Political
0,Life of Brian,1979,Comedy,Farce/Spoof,
0,Young Frankenstein,1974,Comedy,Farce/Spoof,
0,Kung Fu Hustle,2004,Comedy,Farce/Spoof,
0,Cat Ballou,1965,Comedy,Farce/Spoof,
0,Wet Hot American Summer,2001,Comedy,Farce/Spoof,
0,Beyond the Valley of the Dolls,1970,Comedy,Farce/Spoof,
0,Austin Powers: International Man of Mystery,1997,Comedy,Farce/Spoof,
0,Walk Hard: The Dewey Cox Story,2007,Comedy,Farce/Spoof,
0,Monty Python and the Holy Grail,1975,Comedy,Farce/Spoof,
0,Airplane!,1980,Comedy,Farce/Spoof,Absurd
0,Spaceballs,1987,Comedy,Farce/Spoof,Absurd
0,Hot Shots!,1991,Comedy,Farce/Spoof,Absurd
0,Don't Be a Menace...,1996,Comedy,Farce/Spoof,Absurd
0,The Naked Gun,1988,Comedy,Farce/Spoof,Absurd
0,School of Rock,2003,Comedy,Workplace/Occupational,
0,Clerks,1994,Comedy,Workplace/Occupational,
0,Office Space,1999,Comedy,Workplace/Occupational,
0,Anchorman,2004,Comedy,Workplace/Occupational,
0,The Producers,1967,Comedy,Workplace/Occupational,
0,The Gold Rush,1925,Comedy,Workplace/Occupational,
0,Horse Feathers,1932,Comedy,Workplace/Occupational,
0,I Heart Huckabees,2004,Comedy,Workplace/Occupational,
0,The Band's Visit,2007,Comedy,Workplace/Occupational,
0,Nacho Libre,2006,Comedy,Workplace/Occupational,
0,American Graffiti,1973,Comedy,Teen,
0,Risky Business,1983,Comedy,Teen,
0,The Breakfest Club,1985,Comedy,Teen,
0,American Pie,1999,Comedy,Teen,
0,Clueless,1995,Comedy,Teen,
0,Dazed and Confused,1993,Comedy,Teen,
0,Superbad,2007,Comedy,Teen,
0,Hairspray,1988,Comedy,Teen,
0,Mean Girls,2004,Comedy,Teen,
0,Easy A,2010,Comedy,Teen,
0,The Edge of Seventeen,2017,Comedy,Teen,
0,Napoleon Dynamite,2004,Comedy,Teen,
0,Sixteen Candles,1984,Comedy,Teen,
0,Fast Times at Ridgemont High,1982,Comedy,Teen,
0,Ferris Bueller's Day Off,1986,Comedy,Teen,
0,The Perks of Being a Wallflower,2012,Comedy,Teen,
0,Animal House,1978,Comedy,Teen,College
0,Revenge of the Nerds,1984,Comedy,Teen,College
0,Coming to America,1988,Comedy,Screwball,Fish Out of Water
0,Crocodile Dundee,1986,Comedy,Screwball,Fish Out of Water
0,Trading Places,1983,Comedy,Screwball,Fish Out of Water
0,Tootsie,1982,Comedy,Screwball,Costume
0,The Birdcage,1996,Comedy,Screwball,Costume
0,Mrs. Doubtfire,1993,Comedy,Screwball,Costume
0,Pink Flamingos,1972,Comedy,Screwball,Costume
0,The Blues Brothers,1980,Comedy,Road Comedy,
0,Road Trip,2000,Comedy,Road Comedy,
0,Cannonball Run,1981,Comedy,Road Comedy,
0,Lost in America,1985,Comedy,Road Comedy,
0,Sullivan's Travels,1941,Comedy,Road Comedy,
0,The General,1925,Comedy,Road Comedy,
0,Microbe and Gasoline,2015,Comedy,Road Comedy,
0,"Planes, Trains and Automobiles",1987,Comedy,Road Comedy,
0,National Lampoon's Vacation,1983,Comedy,Road Comedy,
0,Smokey and the Bandit,1977,Comedy,Road Comedy,
0,A Christmas Story,1983,Comedy,Family,
0,Father of the Bride,1950,Comedy,Family,
0,The Kid,1921,Comedy,Family,
0,Parenthood,1989,Comedy,Family,
0,Bugsy Malone,1976,Comedy,Crime Comedy,
0,The Ladykillers,1955,Comedy,Crime Comedy,
0,Raising Arizona,1987,Comedy,Crime Comedy,
0,Grosse Pointe Blank,1997,Comedy,Crime Comedy,
0,21 Jump Street,2012,Comedy,Crime Comedy,
0,A FIsh Called Wanda,1988,Comedy,Crime Comedy,
0,Dirty Rotten Scoundrels,1988,Comedy,Crime Comedy,
0,Bullets Over Broadway,1994,Comedy,Crime Comedy,
0,Waiting for Guffman,1996,Comedy,Mockumentary,
0,This is Spinal Tap,1984,Comedy,Mockumentary,
0,Borat,2006,Comedy,Mockumentary,
0,Best in Show,2000,Comedy,Mockumentary,
0,What We Do in the Shadows,2014,Comedy,Mockumentary,
0,Popstar: Never Stop Never Stopping,2016,Comedy,Mockumentary,
0,The Goonies,1985,Comedy,Kids in Peril,
0,Home Alone,1990,Comedy,Kids in Peril,
0,Adventures in Babysitting,1987,Comedy,Kids in Peril,
0,Harvey,1950,Comedy,Bufoons,
0,Who's Harry Crumb,1989,Comedy,Bufoons,
0,A Shot in the Dark,1964,Comedy,Bufoons,
0,Billy Madison,1995,Comedy,Bufoons,
0,Step Brothers,2008,Comedy,Bufoons,
0,Dumb and Dumber,1994,Comedy,Bufoons,
0,The Jerk,1979,Comedy,Bufoons,
0,Zoolander,2001,Comedy,Bufoons,
0,Ace Ventura: Pet Detective,1994,Comedy,Bufoons,
0,Monsieur Hulot's Holiday,1953,Comedy,Bufoons,
