watched,name,year,genre_main,genre_sub1,genre_sub2
0,ELf,2003,Fantasy,Touch of Magic,
0,Life of Pi,2012,Fantasy,Touch of Magic,
0,Three Colours: Red,1994,Fantasy,Touch of Magic,
0,Matilda,1996,Fantasy,Touch of Magic,
0,L.A. Story,1991,Fantasy,Touch of Magic,
0,The Lobster,2015,Fantasy,Touch of Magic,
0,Ordet,1955,Fantasy,Touch of Magic,
0,Mary Poppins,1964,Fantasy,Touch of Magic,
0,The Green Mile,1999,Fantasy,Touch of Magic,
0,Field of Dreams,1989,Fantasy,Touch of Magic,
0,Enchanted,2007,Fantasy,Touch of Magic,
0,Midnight in Paris,2011,Fantasy,Touch of Magic,
0,The Double Life of Veronique,1991,Fantasy,Touch of Magic,
0,Willy Wonka and the Chocolate Factory,1971,Fantasy,Touch of Magic,
0,Stranger than Fiction,2006,Fantasy,Touch of Magic,
0,Who Framed Roger Rabbit,1988,Fantasy,Touch of Magic,
0,Toy Story,1995,Fantasy,Touch of Magic,Hidden Worlds
0,Toy Story 2,1999,Fantasy,Touch of Magic,Hidden Worlds
0,Toy Story 3,2010,Fantasy,Touch of Magic,Hidden Worlds
0,"Monsters, Inc.",2001,Fantasy,Touch of Magic,Hidden Worlds
0,The Lego Movie,2014,Fantasy,Touch of Magic,Hidden Worlds
0,Wreck-It Ralph,2012,Fantasy,Touch of Magic,Hidden Worlds
0,Ralph Breaks the Internet,2018,Fantasy,Touch of Magic,Hidden Worlds
0,All That Jazz,1979,Fantasy,Touch of Magic,Reveries
0,Birdman,2014,Fantasy,Touch of Magic,Reveries
0,Big Fish,2003,Fantasy,Touch of Magic,Reveries
0,Sherlock Jr.,1924,Fantasy,Touch of Magic,Reveries
0,Groundhog Day,1993,Fantasy,Touch of Magic,Do-Overs
0,It's a Wonderful Life,1946,Fantasy,Touch of Magic,Do-Overs
0,Peggy Sue Got Married,1986,Fantasy,Touch of Magic,Do-Overs
0,Your Name,2016,Fantasy,Touch of Magic,Body Change
0,Freaky Friday,1976,Fantasy,Touch of Magic,Body Change
0,Dream a Little Dream,1989,Fantasy,Touch of Magic,Body Change
0,Big,1988,Fantasy,Touch of Magic,Body Change
0,13 Going on 30,2004,Fantasy,Touch of Magic,Body Change
0,Being John Malkovich,1999,Fantasy,Touch of Magic,Body Change
0,My Neighbor Totoro,1988,Fantasy,Touch of Magic,Friendly Creatures
0,The Iron Giant,1999,Fantasy,Touch of Magic,Friendly Creatures
0,Pinocchio,1940,Fantasy,Touch of Magic,Friendly Creatures
0,Pete's Dragon,2016,Fantasy,Touch of Magic,Friendly Creatures
0,Colossal,2017,Fantasy,Touch of Magic,Friendly Creatures
0,Paddington,2014,Fantasy,Touch of Magic,Friendly Creatures
0,Paddington 2,2017,Fantasy,Touch of Magic,Friendly Creatures
