watched,name,year,genre_main,genre_sub1,genre_sub2
0,King Kong,1933,Sci-Fi,Creature Feature,Giant Monster
0,Godzilla,1954,Sci-Fi,Creature Feature,Giant Monster
0,Them!,1954,Sci-Fi,Creature Feature,Giant Monster
0,Pacific Rim,2013,Sci-Fi,Creature Feature,Giant Monster
0,The Host,2006,Sci-Fi,Creature Feature,Giant Monster
0,Cloverfield,2008,Sci-Fi,Creature Feature,Giant Monster
0,Fantastic Planet,1973,Sci-Fi,Creature Feature,Giant Monster
0,Rodan,1956,Sci-Fi,Creature Feature,Giant Monster
0,"The Beast from 20,000 Fathoms",1953,Sci-Fi,Creature Feature,Giant Monster
0,Attack of the 50ft Woman,1958,Sci-Fi,Creature Feature,Giant Monster
0,Mimic,1997,Sci-Fi,Creature Feature,Mutations
0,Deep Blue Sea,1999,Sci-Fi,Creature Feature,Mutations
0,Jurassic Park,1993,Sci-Fi,Creature Feature,Mutations
0,Piranha,1978,Sci-Fi,Creature Feature,Mutations
0,Alligator,1980,Sci-Fi,Creature Feature,Mutations
0,C.H.U.D.,1984,Sci-Fi,Creature Feature,Mutations
0,Phase IV,1974,Sci-Fi,Creature Feature,Mutations
0,The Thing,1982,Sci-Fi,Creature Feature,Extraterrestrial
0,E.T.,1982,Sci-Fi,Creature Feature,Extraterrestrial
0,The Blob,1958,Sci-Fi,Creature Feature,Extraterrestrial
0,Starship Troopers,1997,Sci-Fi,Creature Feature,Extraterrestrial
0,Predator,1987,Sci-Fi,Creature Feature,Extraterrestrial
0,Alien,1979,Sci-Fi,Creature Feature,Extraterrestrial
0,Aliens,1986,Sci-Fi,Creature Feature,Extraterrestrial
0,Under the Skin,2013,Sci-Fi,Creature Feature,Extraterrestrial
0,Repo Man,1984,Sci-Fi,Creature Feature,Extraterrestrial
0,The Stuff,1985,Sci-Fi,Creature Feature,Extraterrestrial
0,Bad Taste,1987,Sci-Fi,Creature Feature,Extraterrestrial
0,This Island Earth,1955,Sci-Fi,Creature Feature,Extraterrestrial
0,Enemy Mine,1985,Sci-Fi,Creature Feature,Extraterrestrial
0,Life,2017,Sci-Fi,Creature Feature,Extraterrestrial
0,The Thing from Another World,1951,Sci-Fi,Creature Feature,Extraterrestrial
0,Cocoon,1985,Sci-Fi,Creature Feature,Extraterrestrial
0,District 9,2009,Sci-Fi,Creature Feature,Extraterrestrial
0,Alien Nation,1988,Sci-Fi,Creature Feature,Extraterrestrial
0,They Live,1988,Sci-Fi,Creature Feature,Extraterrestrial
0,Men in Black,1997,Sci-Fi,Creature Feature,Extraterrestrial
0,The Brother from Another Planet,1984,Sci-Fi,Creature Feature,Extraterrestrial
0,The Man Who Fell to Earth,1971,Sci-Fi,Creature Feature,Extraterrestrial
0,It Came from Outer Space,1953,Sci-Fi,Creature Feature,Extraterrestrial
0,Close Encounters of the Third Kind,1977,Sci-Fi,Creature Feature,Extraterrestrial
0,Independance Day,1996,Sci-Fi,Creature Feature,Extraterrestrial
0,A Quiet Place,2018,Sci-Fi,Creature Feature,Extraterrestrial
0,Attack the Block,2011,Sci-Fi,Creature Feature,Extraterrestrial
0,Slither,2006,Sci-Fi,Creature Feature,Extraterrestrial
0,The Hidden,1987,Sci-Fi,Creature Feature,Extraterrestrial
0,Monsters,2010,Sci-Fi,Creature Feature,Extraterrestrial
0,Before We Vanish,2017,Sci-Fi,Creature Feature,Extraterrestrial
0,10 Cloverfield Lane,2016,Sci-Fi,Creature Feature,Extraterrestrial
0,Invasion of the Body Snatchers,1956,Sci-Fi,Creature Feature,Extraterrestrial
