watched,name,year,genre_main,genre_sub1,genre_sub2
0,Seven,1995,Thriller,Crime,Investigation
0,Fargo,1996,Thriller,Crime,Investigation
0,Dirty Hairy,1971,Thriller,Crime,Investigation
0,Point Break,1991,Thriller,Crime,Investigation
0,M,1931,Thriller,Crime,Investigation
0,One False Move,1992,Thriller,Crime,Investigation
0,Lone Star,1996,Thriller,Crime,Investigation
0,High and Low,1963,Thriller,Crime,Investigation
0,Elite Squad,2007,Thriller,Crime,Investigation
0,Training Day,2001,Thriller,Crime,Investigation
0,Sicario,2015,Thriller,Crime,Investigation
0,The Silence of the Lambs,1991,Thriller,Crime,Investigation
0,Strangers on a Train,1951,Thriller,Crime,Amateur Plots
0,Dial M for Murder,1954,Thriller,Crime,Amateur Plots
0,Blue Ruin,2013,Thriller,Crime,Amateur Plots
0,Double Indemnity,1944,Thriller,Crime,Amateur Plots
0,A Place in the Sun,1951,Thriller,Crime,Amateur Plots
0,Match Point,2005,Thriller,Crime,Amateur Plots
0,A Simple Plan,1998,Thriller,Crime,Amateur Plots
0,Elevator to the Gallows,1958,Thriller,Crime,Amateur Plots
0,The Departed,2006,Thriller,Crime,Gangster
0,The Wild One,1953,Thriller,Crime,Gangster
0,Scarface,1932,Thriller,Crime,Gangster
0,Carlito's Way,1993,Thriller,Crime,Gangster
0,Eastern Promises,2007,Thriller,Crime,Gangster
0,On the Waterfront,1954,Thriller,Crime,Gangster
0,Miller's Crossing,1990,Thriller,Crime,Gangster
0,Brighton Rock,1948,Thriller,Crime,Gangster
0,American Gangster,2007,Thriller,Crime,Gangster
0,The Public Enemy,1931,Thriller,Crime,Gangster
0,Performance,1970,Thriller,Crime,Gangster
0,Snatch,2000,Thriller,Crime,Gangster
0,Pulp Fiction,1994,Thriller,Crime,Gangster
0,Breathless,1960,Thriller,Crime,Gangster
0,Once Upon a Time in America,1984,Thriller,Crime,Gangster
0,Get Carter,1971,Thriller,Crime,Gangster
0,The Limey,1999,Thriller,Crime,Gangster
0,Goodfellas,1990,Thriller,Crime,Mafia
0,The Godfather,1972,Thriller,Crime,Mafia
0,Casino,1995,Thriller,Crime,Mafia
0,A Bronx Tale,1993,Thriller,Crime,Mafia
0,Mafioso,1962,Thriller,Crime,Mafia
0,Mean Streets,1973,Thriller,Crime,Mafia
0,The Godfather Part II,1974,Thriller,Crime,Mafia
0,Ocean's Eleven,2001,Thriller,Crime,Heist
0,Jackie Brown,1997,Thriller,Crime,Heist
0,Reservoir Dogs,1992,Thriller,Crime,Heist
0,Dog Day Afternoon,1975,Thriller,Crime,Heist
0,The Sting,1973,Thriller,Crime,Heist
0,Rififi,1955,Thriller,Crime,Heist
0,Bande A Part,1964,Thriller,Crime,Heist
0,Le Cercle Rouge,1970,Thriller,Crime,Heist
0,The Asphalt Jungle,1950,Thriller,Crime,Heist
0,Ronin,1998,Thriller,Crime,Heist
0,Bottle Rocket,1996,Thriller,Crime,Heist
0,Out of Sight,1998,Thriller,Crime,Heist
0,Drive,2011,Thriller,Crime,Heist
0,Layer Cake,2004,Thriller,Crime,Heist
0,Windows,2018,Thriller,Crime,Heist
0,Hell or High Water,2016,Thriller,Crime,Heist
0,Baby Driver,2017,Thriller,Crime,Heist
0,Logan Lucky,2017,Thriller,Crime,Heist
0,Sexy Beast,2000,Thriller,Crime,Heist
0,Quick Change,1990,Thriller,Crime,Heist
0,"Lock, Stock and Two Smoking Barrels",1999,Thriller,Crime,Heist
0,The Gold Man and the Gun,2018,Thriller,Crime,Heist
0,Bring Me the Head of Alfredo Garcia,1974,Thriller,Crime,Heist
0,Heat,1995,Thriller,Crime,Heist
0,The Killing,1956,Thriller,Crime,Heist
0,Dragged Across Concrete,2018,Thriller,Crime,Heist
0,Prisoners,2013,Thriller,Crime,Kidnapping
0,The Vanishing,1988,Thriller,Crime,Kidnapping
0,Ransom,1996,Thriller,Crime,Kidnapping
0,The Big Lebowski,1998,Thriller,Crime,Kidnapping
0,Misery,1990,Thriller,Crime,Kidnapping
0,The Man Who Knew Too Much,1956,Thriller,Crime,Kidnapping
0,Le Samourai,1967,Thriller,Crime,Hitmen
0,Le Femme Nikita,1990,Thriller,Crime,Hitmen
0,The Killer,1989,Thriller,Crime,Hitmen
0,In Bruges,2008,Thriller,Crime,Hitmen
0,Leon: The Professional,1994,Thriller,Crime,Hitmen
0,You Were Never Really Here,2018,Thriller,Crime,Hitmen
0,When a Stranger Calls,1979,Thriller,Slasher,
0,Peeping Tom,1960,Thriller,Slasher,
0,The Hills Have Eyes,1977,Thriller,Slasher,
0,Maniac,1980,Thriller,Slasher,
0,Opera,1987,Thriller,Slasher,
0,Deep Red,1975,Thriller,Slasher,
0,The Burning,1981,Thriller,Slasher,
0,The Funhouse,1981,Thriller,Slasher,
0,I Know What You Did Last Summer,1997,Thriller,Slasher,
0,The Texas Chainsaw Massacre,1974,Thriller,Slasher,
0,Friday the 13th,1980,Thriller,Slasher,Day-Specific
0,Halloween,1978,Thriller,Slasher,Day-Specific
0,Prom Night,1980,Thriller,Slasher,Day-Specific
0,My Bloody Valentine,1981,Thriller,Slasher,Day-Specific
0,Black Christmas,1974,Thriller,Slasher,Day-Specific
0,"Silent Night, Deadly Night",1984,Thriller,Slasher,Day-Specific
0,Jaws,1975,Thriller,Slasher,Non-Human Threat
0,Cujo,1983,Thriller,Slasher,Non-Human Threat
0,Orca,1977,Thriller,Slasher,Non-Human Threat
0,Grizzly,1976,Thriller,Slasher,Non-Human Threat
