watched,name,year,genre_main,genre_sub1,genre_sub2
0,City Lights,1931,Drama,Love Story,Rom-Com
0,As Good As It Gets,1997,Drama,Love Story,Rom-Com
0,Amelie,2001,Drama,Love Story,Rom-Com
0,Pretty Woman,1990,Drama,Love Story,Rom-Com
0,Manhattan,1979,Drama,Love Story,Rom-Com
0,Tha Graduate,1967,Drama,Love Story,Rom-Com
0,Knocked Up,2007,Drama,Love Story,Rom-Com
0,Annie Hall,1977,Drama,Love Story,Rom-Com
0,Funny Girl,1968,Drama,Love Story,Rom-Com
0,The Apartment,1960,Drama,Love Story,Rom-Com
0,The Quiet Man,1952,Drama,Love Story,Rom-Com
0,Houseboat,1958,Drama,Love Story,Rom-Com
0,Sabrina,1954,Drama,Love Story,Rom-Com
0,Roman Holiday,1953,Drama,Love Story,Rom-Com
0,Ninotchka,1939,Drama,Love Story,Rom-Com
0,Cyrano De Bergerac,1990,Drama,Love Story,Rom-Com
0,Harold and Maude,1971,Drama,Love Story,Rom-Com
0,Sunrise,1927,Drama,Love Story,Rom-Com
0,Punch-Drunk Love,2002,Drama,Love Story,Rom-Com
0,Broadcast News,1987,Drama,Love Story,Rom-Com
0,Pretty in Pink,1986,Drama,Love Story,Rom-Com
0,Garden State,2004,Drama,Love Story,Rom-Com
0,Safety Last!,1923,Drama,Love Story,Rom-Com
0,Moonstruck,1987,Drama,Love Story,Rom-Com
0,Say Anything...,1989,Drama,Love Story,Rom-Com
0,About a Boy,2002,Drama,Love Story,Rom-Com
0,The Big Sick,2017,Drama,Love Story,Rom-Com
0,Crazy Rich Asians,2018,Drama,Love Story,Rom-Com
0,Sleepless in Seattle,1993,Drama,Love Story,Rom-Com
0,Forgetting Sarah Marshall,2008,Drama,Love Story,Rom-Com
0,Four Weddings and a Funeral,1994,Drama,Love Story,Rom-Com
0,The Philadelphia Story,1940,Drama,Love Story,Rom-Com
0,When Harry Met Sally,1989,Drama,Love Story,Rom-Com
0,There's Something About Mary,1998,Drama,Love Story,Rom-Com
0,The 40-Year-Old Virgin,2005,Drama,Love Story,Rom-Com
0,Silver Linings Playbook,2012,Drama,Love Story,Rom-Com
0,The Lady Eve,1941,Drama,Love Story,Screwball
0,His Girl Friday,1940,Drama,Love Story,Screwball
0,Bringing Up Baby,1938,Drama,Love Story,Screwball
0,The Seven Year Itch,1955,Drama,Love Story,Screwball
0,Some Like It Hot,1959,Drama,Love Story,Screwball
0,"What's Up, Doc?",1972,Drama,Love Story,Screwball
0,Adam's Rib,1949,Drama,Love Story,Screwball
0,The Palm Beach Story,1942,Drama,Love Story,Screwball
0,It Happened One Night,1934,Drama,Love Story,Screwball
0,Badlands,1973,Drama,Love Story,Life and Crime
0,True Romance,1993,Drama,Love Story,Life and Crime
0,Days of Heaven,1978,Drama,Love Story,Life and Crime
0,Mad Dog and Glory,1993,Drama,Love Story,Life and Crime
0,Picnic,1955,Drama,Love Story,One Day
0,Before Sunrise,1995,Drama,Love Story,One Day
0,Before Sunset,2004,Drama,Love Story,One Day
0,Before Midnight,2013,Drama,Love Story,One Day
0,A Day in the Country,1936,Drama,Love Story,One Day
0,Short Cuts,1993,Drama,Multiple Stories,
0,The Hours,2002,Drama,Multiple Stories,
0,Magnolia,1999,Drama,Multiple Stories,
0,I Am Cuba,1964,Drama,Multiple Stories,
0,Au Hasard Balthazar,1966,Drama,Multiple Stories,
0,Crimes and Misdemeanors,1989,Drama,Multiple Stories,
0,Songs from the Second Floor,2000,Drama,Multiple Stories,
0,Titanic,1997,Drama,Love Story,Ill-Starred
0,A Star is Born,2018,Drama,Love Story,Ill-Starred
0,The English Patient,1996,Drama,Love Story,Ill-Starred
0,Once,2007,Drama,Love Story,Ill-Starred
0,Stromboli,1950,Drama,Love Story,Ill-Starred
0,Port of Shadows,1938,Drama,Love Story,Ill-Starred
0,Brokeback Mountain,2005,Drama,Love Story,Ill-Starred
0,The Year of Living Dangerously,1982,Drama,Love Story,Ill-Starred
0,Hiroshima Mon Amour,1959,Drama,Love Story,Ill-Starred
0,Call Me By Your Name,2017,Drama,Love Story,Ill-Starred
0,Letter from an Unknown Woman,1948,Drama,Love Story,Ill-Starred
0,Secretary,2002,Drama,Love Story,Erotica
0,Wild Orchid,1989,Drama,Love Story,Erotica
0,Betty Blue,1986,Drama,Love Story,Erotica
0,Black Narcissus,1947,Drama,Love Story,Erotica
0,Blue is the Warmest Color,2013,Drama,Love Story,Erotica
0,Kama Sutra: A Tale of Love,1996,Drama,Love Story,Erotica
0,Closer,2004,Drama,Love Story,Love Triangle
0,Jules and Jim,1962,Drama,Love Story,Love Triangle
0,Written on the Wind,1956,Drama,Love Story,Love Triangle
0,Sunday Bloody Sunday,1971,Drama,Love Story,Love Triangle
0,The Mother and the Whore,1973,Drama,Love Story,Love Triangle
0,Vicky Christina Barcelona,2008,Drama,Love Story,Love Triangle
0,Trainspotting,1996,Drama,Addiction,
0,Requiem for a Dream,2000,Drama,Addiction,
0,Traffic,2000,Drama,Addiction,
0,Leaving Las Vegas,1995,Drama,Addiction,
0,Bigger Than Life,1956,Drama,Addiction,
0,Half Nelson,2006,Drama,Addiction,
0,Love Liza,2002,Drama,Addiction,
0,Mississippi Grind,2015,Drama,Addiction,
0,Fear and Loathing in Las Vegas,1998,Drama,Addiction,
0,ELf,2003,Fantasy,Touch of Magic,
0,Gertrud,1964,Drama,Love Story,Troubled Love
0,Contempt,1963,Drama,Love Story,Troubled Love
0,Turkish Delight,1973,Drama,Love Story,Troubled Love
0,Darling,1965,Drama,Love Story,Troubled Love
0,Belle De Jour,1967,Drama,Love Story,Troubled Love
0,Journey to Italy,1954,Drama,Love Story,Troubled Love
0,Giant,1956,Drama,Love Story,Troubled Love
0,The Beguiled,2017,Drama,Love Story,Troubled Love
0,Brief Enounter,1945,Drama,Love Story,Troubled Love
0,The Misfits,1961,Drama,Love Story,Troubled Love
0,Sawdust and Tinsel,1953,Drama,Love Story,Troubled Love
0,Who's Afraid of Virginia Woolf,1966,Drama,Love Story,Troubled Love
0,Cat on a Hot Tin Roof,1958,Drama,Love Story,Troubled Love
0,From Here to Eternity,1953,Drama,Love Story,Troubled Love
0,The Way We Were,1973,Drama,Love Story,Break-Ups
0,The Story of Us,1999,Drama,Love Story,Break-Ups
0,The Break-Up,2006,Drama,Love Story,Break-Ups
0,(500) Days of Summer,2009,Drama,Love Story,Break-Ups
0,Chungking Express,1994,Drama,Love Story,Break-Ups
0,High Fidelity,2000,Drama,Love Story,Break-Ups
0,Faces,1968,Drama,Love Story,Break-Ups
0,Some Came Running,1956,Drama,Love Story,Men Behaving Badly
0,Sideways,2004,Drama,Love Story,Men Behaving Badly
0,Wonder Boys,2000,Drama,Love Story,Men Behaving Badly
0,Broken Flowers,2005,Drama,Love Story,Men Behaving Badly
0,About Schmidt,2002,Drama,Love Story,Men Behaving Badly
0,"Sex, Lies, and Videotape",1989,Drama,Love Story,Men Behaving Badly
0,You Can Count on Me,2000,Drama,Family,
0,Little Miss Sunshine,2006,Drama,Family,
0,East of Eden,1955,Drama,Family,
0,Ordinary People,1980,Drama,Family,
0,Monsoon Wedding,2001,Drama,Family,
0,Yi Yi,2000,Drama,Family,
0,Pather Panchali,1955,Drama,Family,
0,Tokyo Story,1953,Drama,Family,
0,Mother and Son,1997,Drama,Family,
0,The Celebration,1998,Drama,Family,
0,Secrets and Lies,1996,Drama,Family,
0,The Return,2003,Drama,Family,
0,The Jazz Singer,1927,Drama,Family,
0,Roma,2018,Drama,Family,
0,Rain Man,1988,Drama,Family,
0,Slumdog Millionaire,2008,Drama,Family,
0,The Grapes of Wrath,1940,Drama,Family,
0,Imitation of Life,1959,Drama,Family,
0,The Royal Tenenbaums,2001,Drama,Family,
0,A Streetcar Named Desire,1951,Drama,Family,
0,A Woman Under the Influence,1974,Drama,Family,
0,"Distance Vocies, Still Lives",1988,Drama,Family,
0,Rocco and His Brothers,1960,Drama,Family,
0,The Squid and the Whale,2005,Drama,Family,
0,I Vitelloni,1953,Drama,Coming of Age,
0,Good Will Hunting,1997,Drama,Coming of Age,
0,Y Tu Mama Tambien,2001,Drama,Coming of Age,
0,Do the Right Thing,1989,Drama,Coming of Age,
0,Moonlight,2016,Drama,Coming of Age,
0,The 400 Blows,1959,Drama,Coming of Age,
0,Stand By Me,1986,Drama,Coming of Age,
0,The Class,2008,Drama,Coming of Age,
0,The Last Picture Show,1971,Drama,Coming of Age,
0,An Education,2009,Drama,Coming of Age,
0,Billy Elliot,2000,Drama,Coming of Age,
0,Precious,2009,Drama,Coming of Age,
0,Only Yesterday,1991,Drama,Coming of Age,
0,Osama,2003,Drama,Coming of Age,
0,Raising Victor Vargas,2002,Drama,Coming of Age,
0,Maria Full of Grace,2004,Drama,Coming of Age,
0,Les Enfants Terribles,1950,Drama,Coming of Age,
0,Metropolitan,1990,Drama,Coming of Age,
0,Dead Poets Society,1989,Drama,Coming of Age,
0,Eighth Grade,2018,Drama,Coming of Age,
0,Boyhood,2014,Drama,Coming of Age,
0,Kids,1995,Drama,Coming of Age,
0,Lady Bird,2017,Drama,Coming of Age,
0,The Spirit of the Beehive,1973,Drama,Coming of Age,
0,My Life as a Zucchini,2016,Drama,Coming of Age,
0,Cinema Paradiso,1988,Drama,Coming of Age,Apprenticeship
0,Whiplash,2014,Drama,Coming of Age,Apprenticeship
0,Karate Kid,1984,Drama,Coming of Age,Apprenticeship
0,The Color of Money,1986,Drama,Coming of Age,Apprenticeship
0,American History X,1998,Drama,Coming of Age,Criminal Elements
0,City of God,2002,Drama,Coming of Age,Criminal Elements
0,Boyz 'N the Hood,1991,Drama,Coming of Age,Criminal Elements
0,La Haine,1995,Drama,Coming of Age,Criminal Elements
0,Elephant,2003,Drama,Coming of Age,Criminal Elements
0,Rebel Without a Cause,1955,Drama,Coming of Age,Criminal Elements
0,The Young and The Damned,1950,Drama,Coming of Age,Criminal Elements
0,Ace in the Hole,1951,Drama,Manipulators/Schemes,
0,All About Eve,1950,Drama,Manipulators/Schemes,
0,Waking Ned Devine,1998,Drama,Manipulators/Schemes,
0,Morvern Callar,2002,Drama,Manipulators/Schemes,
0,Glengarry Glen Ross,1992,Drama,Manipulators/Schemes,
0,Born Yesterday,1950,Drama,Manipulators/Schemes,
0,Sweet Smell of Success,1957,Drama,Manipulators/Schemes,
0,Throne of Blood,1957,Drama,Period Piece,
0,Lola Montes,1955,Drama,Period Piece,
0,Children of Paradise,1945,Drama,Period Piece,
0,Braveheart,1995,Drama,Period Piece,
0,Forrest Gump,1994,Drama,Period Piece,
0,Restoration,1995,Drama,Period Piece,
0,The New World,2005,Drama,Period Piece,
0,Barry Lyndon,1975,Drama,Period Piece,
0,The Birth of a Nation,2016,Drama,Period Piece,
0,The Leopard,1963,Drama,Period Piece,
0,Andrei Rublev,1969,Drama,Period Piece,
0,Day of Wrath,1943,Drama,Period Piece,
0,Reds,1981,Drama,Period Piece,
0,The Dead,1987,Drama,Period Piece,
0,Shakespeare in Love,1998,Drama,Period Piece,
